Colectivo,Grupo,G̩nero,% Grupo,% Colectivo,% Sector,% Plantilla
PAS Funcionario,A1,Hombre,"57,93","8,62","3,63","1,48"
PAS Funcionario,A1,Mujer,"42,07","6,26","2,63","1,08"
PAS Funcionario,A2,Hombre,"54,35","10,27","4,32","1,76"
PAS Funcionario,A2,Mujer,"45,65","8,62","3,63","1,48"
PAS Funcionario,C1,Hombre,"40,52","20,64","8,68","3,54"
PAS Funcionario,C1,Mujer,"59,48","30,29","12,73","5,20"
PAS Funcionario,C2,Hombre,"30,87","4,72","1,99","0,81"
PAS Funcionario,C2,Mujer,"69,13","10,57","4,45","1,82"
PAS Laboral,G1,Hombre,"40,96","2,53","1,47","0,60"
PAS Laboral,G1,Mujer,"59,04","3,65","2,11","0,86"
PAS Laboral,G2,Hombre,"52,46","2,38","1,38","0,56"
PAS Laboral,G2,Mujer,"47,54","2,16","1,25","0,51"
PAS Laboral,G3,Hombre,"63,10","22,41","12,99","5,31"
PAS Laboral,G3,Mujer,"36,90","13,10","7,60","3,10"
PAS Laboral,G4,Hombre,"37,53","20,18","11,70","4,78"
PAS Laboral,G4,Mujer,"62,47","33,58","19,46","7,95"
PDI Contratado,Contr. Doctor,Hombre,"51,13","20,11","7,39","4,37"
PDI Contratado,Contr. Doctor,Mujer,"48,87","19,22","7,07","4,18"
PDI Contratado,Ayud. Doctor,Hombre,"52,88","4,46","1,64","0,97"
PDI Contratado,Ayud. Doctor,Mujer,"47,12","3,97","1,46","0,86"
PDI Contratado,Asociado,Hombre,"74,06","20,84","7,66","4,53"
PDI Contratado,Asociado,Mujer,"25,94","7,30","2,68","1,59"
PDI Contratado,Ayudante,Hombre,"0,00","0,00","0,00","0,00"
PDI Contratado,Ayudante,Mujer,"0,00","0,00","0,00","0,00"
PDI Contratado,Asoc.Salud,Hombre,"68,67","8,35","3,07","1,82"
PDI Contratado,Asoc.Salud,Mujer,"31,33","3,81","1,40","0,83"
PDI Contratado,Colaborador,Hombre,"52,24","5,68","2,09","1,23"
PDI Contratado,Colaborador,Mujer,"47,76","5,19","1,91","1,13"
PDI Contratado,Otros,Hombre,"61,54","0,65","0,24","0,14"
PDI Contratado,Otros,Mujer,"38,46","0,41","0,15","0,09"
PDI Funcionario,CU,Hombre,"78,28","21,40","13,54","8,01"
PDI Funcionario,CU,Mujer,"21,72","5,94","3,76","2,22"
PDI Funcionario,CEU,Hombre,"75,00","1,13","0,72","0,42"
PDI Funcionario,CEU,Mujer,"25,00","0,38","0,24","0,14"
PDI Funcionario,TU,Hombre,"60,33","39,51","24,99","14,78"
PDI Funcionario,TU,Mujer,"39,67","25,98","16,43","9,72"
PDI Funcionario,TEU,Hombre,"51,49","2,45","1,55","0,92"
PDI Funcionario,TEU,Mujer,"48,51","2,31","1,46","0,86"
PDI Funcionario,OTROS,Hombre,"42,11","0,38","0,24","0,14"
PDI Funcionario,OTROS,Mujer,"57,89","0,52","0,33","0,19"
